	hek293t_1	hek293t_2	hela_1	hela_2
hsa-miR-3678-5p	0	0	1	1
hsa-miR-3679-3p	11	5	6	7
hsa-miR-3679-5p	318	265	348	130
hsa-miR-3680-3p	16	31	21	18
hsa-miR-3680-5p	38	35	3	29
hsa-miR-3681-5p	0	0	1	0
hsa-miR-3682-3p	10	7	12	17
hsa-miR-3682-5p	3	1	7	4
hsa-miR-3684	110	93	32	50
hsa-miR-3685	18	14	20	17
hsa-miR-3687	66	128	137	163
hsa-miR-3688-3p	30	40	19	18
hsa-miR-3688-5p	1	0	0	0
hsa-miR-3689a-5p	0	2	1	0
hsa-miR-3689b-5p	0	2	1	0
hsa-miR-3689e	0	2	1	0
hsa-miR-3689f	1	1	0	0
hsa-miR-369-3p	1	7	42	30
hsa-miR-369-5p	1	0	4	0
hsa-miR-3690	1	0	1	0
hsa-miR-3691-3p	45	35	24	44
hsa-miR-3691-5p	66	138	296	195
hsa-miR-3692-3p	0	1	6	3
hsa-miR-3692-5p	4	11	2	5
hsa-miR-370-3p	0	1	1	1
hsa-miR-372-3p	0	0	0	1
hsa-miR-373-3p	1	0	2	2
hsa-miR-374a-3p	3631	4040	2168	5095
hsa-miR-374a-5p	89787	80314	55949	119201
hsa-miR-374b-3p	954	620	536	797
hsa-miR-374b-5p	34168	25236	30160	26175
hsa-miR-374c-3p	0	1	0	0
hsa-miR-374c-5p	401	293	326	252
hsa-miR-375	1562	2120	231	117
hsa-miR-376a-3p	0	0	1	0
hsa-miR-376a-5p	0	0	1	0
hsa-miR-376b-3p	1	2	1	3
hsa-miR-376b-5p	0	0	2	0
hsa-miR-376c-3p	0	4	5	5
hsa-miR-376c-5p	0	0	2	0
hsa-miR-377-3p	0	0	0	1
hsa-miR-378a-3p	93220	136223	152992	140086
hsa-miR-378a-5p	4098	5306	2898	4603
hsa-miR-378b	1	7	0	5
hsa-miR-378c	7872	17535	4761	16170
hsa-miR-378d	1378	6380	982	4657
hsa-miR-378e	25	25	16	16
hsa-miR-378f	0	1	0	1
hsa-miR-378g	17	22	36	39
hsa-miR-378h	0	1	0	0
hsa-miR-378i	4	8	5	11
hsa-miR-379-3p	0	0	1	0
hsa-miR-379-5p	1	2	5	5
hsa-miR-380-5p	0	1	0	0
hsa-miR-381-3p	3	1	5	3
hsa-miR-382-3p	0	0	1	0
hsa-miR-382-5p	0	2	6	2
hsa-miR-383-5p	11	3	0	1
hsa-miR-3907	2	1	4	8
hsa-miR-3908	2	3	0	0
hsa-miR-3909	430	462	119	173
hsa-miR-3910	3	0	33	207
hsa-miR-3911	22	27	153	94
hsa-miR-3912-3p	73	54	33	66
hsa-miR-3912-5p	9	14	10	23
hsa-miR-3913-3p	9	2	9	23
hsa-miR-3913-5p	11	32	26	58
hsa-miR-3916	1	4	2	3
hsa-miR-3917	3	4	6	4
hsa-miR-3918	4	7	3	0
hsa-miR-3919	0	1	0	0
hsa-miR-3922-3p	16	28	22	19
hsa-miR-3922-5p	3	2	1	0
hsa-miR-3923	1	1	0	1
hsa-miR-3925-3p	2	1	0	0
hsa-miR-3925-5p	0	0	2	0
hsa-miR-3926	1	0	2	2
hsa-miR-3928-3p	195	265	608	445
hsa-miR-3928-5p	7	6	8	8
hsa-miR-3929	0	13	24	6
hsa-miR-3934-3p	6	4	11	19
hsa-miR-3934-5p	26	19	248	205
hsa-miR-3935	0	0	72	34
hsa-miR-3936	4	3	15	18
hsa-miR-3937	2	1	0	1
hsa-miR-3938	38	39	0	0
hsa-miR-3939	35	52	21	15
hsa-miR-3940-3p	62	33	96	38
hsa-miR-3940-5p	88	75	82	88
hsa-miR-3941	2	3	9	5
hsa-miR-3942-3p	12	11	3	7
hsa-miR-3942-5p	22	28	17	15
hsa-miR-3943	15	21	2	1
hsa-miR-3944-3p	198	319	187	135
hsa-miR-3944-5p	12	12	24	4
hsa-miR-3960	0	0	1	1
hsa-miR-409-3p	1	0	7	5
hsa-miR-410-3p	1	0	6	1
hsa-miR-411-3p	1	0	0	1
hsa-miR-411-5p	2	0	4	1
hsa-miR-412-5p	0	0	0	2
hsa-miR-421	5568	3793	6398	4949
hsa-miR-423-3p	58007	74095	148396	108288
hsa-miR-423-5p	31847	28516	67856	41765
hsa-miR-424-3p	2183	1622	1456	1519
hsa-miR-424-5p	15667	11681	6992	13211
hsa-miR-425-3p	1544	2530	6742	7271
hsa-miR-425-5p	19213	25632	88405	78919
hsa-miR-4254	20	23	6	13
hsa-miR-4284	1	3	4	2
hsa-miR-4286	42	36	11	9
hsa-miR-429	24	17	54	1
hsa-miR-431-5p	0	0	6	1
hsa-miR-4317	0	0	0	1
hsa-miR-432-5p	0	0	7	1
hsa-miR-4322	0	0	1	0
hsa-miR-4323	1	0	0	0
hsa-miR-4326	526	787	2342	2465
hsa-miR-433-3p	1	0	0	1
hsa-miR-433-5p	0	0	0	1
hsa-miR-4330	0	0	1	0
hsa-miR-4417	0	5	2	0
hsa-miR-4419b	0	1	0	0
hsa-miR-4421	138	120	2	18
hsa-miR-4422	5	7	7	6
hsa-miR-4423-3p	5	6	0	0
hsa-miR-4423-5p	25	37	2	0
hsa-miR-4424	18	15	1	4
hsa-miR-4425	2	2	4	0
hsa-miR-4426	0	0	2	0
hsa-miR-4427	0	0	5	12
hsa-miR-4428	19	23	3	2
hsa-miR-4429	1	1	1	2
hsa-miR-4433a-3p	1	1	0	0
hsa-miR-4433a-5p	0	1	0	0
hsa-miR-4433b-3p	0	1	0	2
hsa-miR-4433b-5p	2	2	1	2
hsa-miR-4435	1	3	39	19
hsa-miR-4436b-3p	0	0	1	0
hsa-miR-4436b-5p	0	0	2	0
hsa-miR-4440	35	45	236	187
hsa-miR-4442	0	1	6	1
hsa-miR-4443	24	71	3	9
hsa-miR-4444	1	12	7	9
hsa-miR-4446-3p	3	4	0	0
hsa-miR-4448	0	5	0	1
hsa-miR-4449	6	2	32	11
hsa-miR-4450	0	0	0	2
hsa-miR-4451	0	1	0	0
hsa-miR-4452	0	1	0	0
hsa-miR-4453	1	0	0	0
hsa-miR-4454	164	114	178	101
hsa-miR-4457	1	4	18	6
hsa-miR-4458	3	6	1	0
hsa-miR-4460	0	1	1	0
hsa-miR-4461	37	40	22	37
hsa-miR-4462	0	0	2	1
hsa-miR-4463	2	4	2	0
hsa-miR-4466	91	224	915	421
hsa-miR-4467	533	466	44	26
hsa-miR-4469	0	4	8	12
hsa-miR-4470	22	20	29	22
hsa-miR-4473	451	230	131	194
hsa-miR-4474-3p	139	168	60	125
hsa-miR-4474-5p	22	12	0	2
hsa-miR-4475	1	1	0	1
hsa-miR-4476	0	0	2	0
hsa-miR-4477a	14	3	7	6
hsa-miR-4477b	4	7	0	0
hsa-miR-4479	8	8	57	70
hsa-miR-448	0	1	0	0
hsa-miR-4480	0	0	21	43
hsa-miR-4482-3p	0	0	288	214
hsa-miR-4482-5p	0	0	105	144
hsa-miR-4484	247	389	139	101
hsa-miR-4485-3p	49	102	79	9
hsa-miR-4485-5p	171	224	134	58
hsa-miR-4487	0	0	0	1
hsa-miR-4488	0	3	3	0
hsa-miR-4489	0	1	2	3
hsa-miR-4492	1	0	0	0
hsa-miR-4497	0	1	0	0
hsa-miR-4498	10	8	21	13
hsa-miR-449a	868	628	155	270
hsa-miR-449b-3p	3	5	2	2
hsa-miR-449b-5p	36	86	21	16
hsa-miR-449c-3p	7	7	0	3
hsa-miR-449c-5p	133	341	126	145
hsa-miR-4501	30	28	0	0
hsa-miR-4502	4	8	22	12
hsa-miR-4503	0	0	0	2
hsa-miR-4504	20	12	25	11
hsa-miR-4507	0	1	0	0
hsa-miR-4508	0	1	3	0
hsa-miR-450a-1-3p	98	61	21	47
hsa-miR-450a-2-3p	147	113	38	64
hsa-miR-450a-5p	5425	4283	945	2708
hsa-miR-450b-3p	29	38	6	24
hsa-miR-450b-5p	2489	1886	725	1130
hsa-miR-4511	13	10	25	10
hsa-miR-4512	38	16	11	11
hsa-miR-4515	6	8	6	3
hsa-miR-4517	4	144	54	95
hsa-miR-4518	0	2	0	0
hsa-miR-4519	2	2	2	0
hsa-miR-451a	7	7	93	52
hsa-miR-452-3p	1	0	4421	8812
hsa-miR-452-5p	4	3	13830	33161
hsa-miR-4520-2-3p	0	0	1	0
hsa-miR-4520-3p	0	0	1	0
hsa-miR-4521	7555	36838	4569	17766
hsa-miR-4522	1	3	3	1
hsa-miR-4523	179	180	43	64
hsa-miR-4524a-3p	1	1	0	0
hsa-miR-4524a-5p	1	0	0	1
hsa-miR-4525	34	16	98	34
hsa-miR-4526	0	2	0	0
hsa-miR-4529-3p	0	1	0	0
hsa-miR-4531	0	1	0	0
hsa-miR-4532	3	3	1	0
hsa-miR-4533	10	7	0	0
hsa-miR-454-3p	9278	10048	7317	12610
hsa-miR-454-5p	423	328	606	554
hsa-miR-455-3p	3040	2577	1117	1280
hsa-miR-455-5p	1395	1568	419	737
hsa-miR-4635	1	0	0	0
hsa-miR-4636	0	0	0	1
hsa-miR-4637	6	4	6	7
hsa-miR-4638-3p	7	9	47	45
hsa-miR-4638-5p	2	2	9	4
hsa-miR-4639-3p	2	3	1	2
hsa-miR-4639-5p	4	5	0	3
hsa-miR-4640-3p	1	3	23	10
hsa-miR-4640-5p	2	1	16	23
hsa-miR-4641	0	1	0	0
hsa-miR-4642	2	1	6	2
hsa-miR-4643	5	3	0	0
hsa-miR-4644	6	7	4	6
hsa-miR-4645-3p	1	11	65	56
hsa-miR-4645-5p	0	1	2	1
hsa-miR-4646-3p	6	4	11	5
hsa-miR-4646-5p	0	2	6	3
hsa-miR-4647	2	1	1	1
hsa-miR-4648	0	0	1	3
hsa-miR-4649-3p	0	0	1	0
hsa-miR-4651	17	23	56	27
hsa-miR-4652-3p	51	36	0	0
hsa-miR-4652-5p	56	52	0	0
hsa-miR-4653-3p	1	1	6	5
hsa-miR-4653-5p	2	0	2	1
hsa-miR-4654	4	4	17	10
hsa-miR-4655-3p	11	5	5	2
hsa-miR-4655-5p	34	26	15	6
hsa-miR-4656	32	28	0	0
hsa-miR-4657	0	0	1	0
hsa-miR-4658	0	0	1	1
hsa-miR-4659a-3p	22	25	36	16
hsa-miR-4659a-5p	1	1	4	2
hsa-miR-466	0	0	4	2
hsa-miR-4660	23	27	73	65
hsa-miR-4661-3p	10	5	3	1
hsa-miR-4661-5p	100	105	38	18
hsa-miR-4662a-3p	1	0	0	0
hsa-miR-4662a-5p	1	0	0	0
hsa-miR-4663	0	1	0	0
hsa-miR-4664-3p	30	39	309	305
hsa-miR-4664-5p	179	149	345	1063
hsa-miR-4665-3p	1	4	2	1
hsa-miR-4665-5p	76	76	78	60
hsa-miR-4666a-5p	1	0	0	3
hsa-miR-4667-3p	5	7	11	6
hsa-miR-4667-5p	6	7	18	10
hsa-miR-4668-3p	0	0	1	6
hsa-miR-4668-5p	1	0	2	5
hsa-miR-4670-3p	6	3	4	4
hsa-miR-4670-5p	1	0	1	1
hsa-miR-4671-3p	1	0	28	26
hsa-miR-4671-5p	0	0	4	5
hsa-miR-4672	15	18	8	10
hsa-miR-4673	2	5	0	2
hsa-miR-4674	0	1	11	9
hsa-miR-4676-3p	40	48	52	35
hsa-miR-4676-5p	16	21	25	21
hsa-miR-4677-3p	220	221	99	134
hsa-miR-4677-5p	82	76	57	30
hsa-miR-4680-3p	0	0	0	1
hsa-miR-4680-5p	0	0	2	4
hsa-miR-4682	0	0	8	3
hsa-miR-4683	7	1	6	0
hsa-miR-4684-3p	4	4	0	1
hsa-miR-4684-5p	4	3	0	0
hsa-miR-4685-3p	29	32	45	13
hsa-miR-4685-5p	1	0	1	2
hsa-miR-4686	1	0	0	0
hsa-miR-4687-3p	73	59	37	13
hsa-miR-4687-5p	15	5	0	1
hsa-miR-4688	5	6	12	3
hsa-miR-4689	32	19	29	4
hsa-miR-4690-3p	6	12	24	22
hsa-miR-4690-5p	4	7	23	18
hsa-miR-4691-3p	7	8	6	10
hsa-miR-4691-5p	0	3	3	3
hsa-miR-4695-3p	1	6	4	5
hsa-miR-4695-5p	3	0	0	4
hsa-miR-4697-3p	0	0	3	0
hsa-miR-4697-5p	1	0	1	0
hsa-miR-4698	0	0	1	0
hsa-miR-4699-3p	4	3	2	0
hsa-miR-4700-3p	0	0	0	1
hsa-miR-4700-5p	0	0	6	7
hsa-miR-4701-3p	1	0	4	5
hsa-miR-4701-5p	0	0	3	1
hsa-miR-4704-5p	2	0	0	0
hsa-miR-4705	1	0	0	1
hsa-miR-4706	14	16	62	34
hsa-miR-4707-3p	0	0	53	35
hsa-miR-4707-5p	4	3	269	303
hsa-miR-4710	4	4	15	8
hsa-miR-4712-5p	1	0	0	0
hsa-miR-4713-3p	4	3	0	0
hsa-miR-4713-5p	96	41	0	0
hsa-miR-4714-3p	20	32	86	101
hsa-miR-4714-5p	24	28	21	77
hsa-miR-4716-3p	1	0	0	1
hsa-miR-4716-5p	0	0	1	1
hsa-miR-4717-3p	20	28	69	42
hsa-miR-4717-5p	0	0	0	1
hsa-miR-4720-3p	0	0	0	1
hsa-miR-4720-5p	0	0	0	1
hsa-miR-4721	2	0	12	5
hsa-miR-4722-3p	0	1	4	5
hsa-miR-4722-5p	2	3	26	23
hsa-miR-4723-3p	11	15	46	25
hsa-miR-4723-5p	3	1	18	8
hsa-miR-4724-5p	0	0	0	1
hsa-miR-4725-3p	2	2	304	167
hsa-miR-4725-5p	3	1	126	46
hsa-miR-4726-3p	1	5	7	12
hsa-miR-4726-5p	12	11	44	41
hsa-miR-4727-3p	0	1	5	5
hsa-miR-4727-5p	1	0	1	0
hsa-miR-4728-3p	16	21	120	45
hsa-miR-4728-5p	4	7	15	10
hsa-miR-4730	3	1	4	3
hsa-miR-4731-3p	0	0	12	4
hsa-miR-4731-5p	18	21	100	148
hsa-miR-4733-3p	4	2	1	1
hsa-miR-4733-5p	2	4	10	3
hsa-miR-4734	8	8	9	14
hsa-miR-4735-3p	1	4	0	0
hsa-miR-4735-5p	10	18	0	0
hsa-miR-4738-3p	7	21	68	43
hsa-miR-4738-5p	0	0	0	1
hsa-miR-4739	0	0	15	14
hsa-miR-4740-3p	0	0	2	0
hsa-miR-4740-5p	2	3	5	3
hsa-miR-4741	219	286	225	128
hsa-miR-4742-3p	64	62	96	72
hsa-miR-4742-5p	23	11	19	18
hsa-miR-4743-3p	1	0	8	1
hsa-miR-4743-5p	4	3	26	18
hsa-miR-4744	0	1	2	4
hsa-miR-4745-3p	46	30	433	162
hsa-miR-4745-5p	38	48	326	155
hsa-miR-4746-3p	23	22	17	22
hsa-miR-4746-5p	103	151	182	162
hsa-miR-4747-3p	5	8	12	7
hsa-miR-4747-5p	22	23	26	25
hsa-miR-4748	26	33	33	34
hsa-miR-4749-3p	9	3	7	5
hsa-miR-4749-5p	36	36	29	24
hsa-miR-4750-3p	2	0	0	4
hsa-miR-4750-5p	10	4	7	9
hsa-miR-4751	0	0	0	1
hsa-miR-4752	0	1	0	0
hsa-miR-4753-3p	17	6	5	6
hsa-miR-4753-5p	10	3	6	4
hsa-miR-4754	0	5	3	4
hsa-miR-4755-3p	8	6	4	4
hsa-miR-4755-5p	7	10	6	4
hsa-miR-4757-3p	0	0	3	2
hsa-miR-4757-5p	1	0	0	3
hsa-miR-4758-3p	0	0	212	65
hsa-miR-4758-5p	2	1	64	19
hsa-miR-4761-3p	13	26	7	20
hsa-miR-4761-5p	25	8	11	17
hsa-miR-4762-3p	11	10	3	8
hsa-miR-4762-5p	28	16	19	12
hsa-miR-4763-3p	4	5	67	35
hsa-miR-4763-5p	5	2	58	10
hsa-miR-4764-5p	3	0	0	0
hsa-miR-4765	3	1	0	6
hsa-miR-4766-3p	218	230	90	141
hsa-miR-4766-5p	29	30	9	19
hsa-miR-4767	0	4	61	35
hsa-miR-4768-3p	0	0	4	3
hsa-miR-4768-5p	1	11	79	99
hsa-miR-4769-3p	2	2	4	2
hsa-miR-4769-5p	1	0	2	2
hsa-miR-4771	0	0	1	0
hsa-miR-4772-3p	7	11	11	5
hsa-miR-4772-5p	4	8	0	4
hsa-miR-4774-3p	1	0	0	0
hsa-miR-4774-5p	3	2	0	0
hsa-miR-4775	24	15	67	61
hsa-miR-4777-3p	3	1	0	1
hsa-miR-4777-5p	2	0	0	0
hsa-miR-4778-3p	75	52	0	0
hsa-miR-4778-5p	18	15	0	0
hsa-miR-4779	8	2	6	8
hsa-miR-4781-3p	8	9	12	10
hsa-miR-4781-5p	0	0	2	2
hsa-miR-4782-3p	1	0	0	1
hsa-miR-4782-5p	4	1	0	0
hsa-miR-4783-3p	199	216	196	256
hsa-miR-4783-5p	7	9	8	4
hsa-miR-4784	6	22	9	2
hsa-miR-4785	115	154	65	48
hsa-miR-4786-3p	64	64	28	37
hsa-miR-4786-5p	13	24	23	13
hsa-miR-4787-3p	745	366	215	96
hsa-miR-4787-5p	42	81	30	10
hsa-miR-4788	0	0	10	1
hsa-miR-4789-3p	4	0	0	0
hsa-miR-4791	1	28	5	3
hsa-miR-4793-3p	7	8	6	4
hsa-miR-4793-5p	4	3	0	7
hsa-miR-4794	5	1	0	1
hsa-miR-4795-3p	10	4	2	4
hsa-miR-4795-5p	1	2	0	0
hsa-miR-4796-3p	1	2	1	2
hsa-miR-4796-5p	0	0	0	1
hsa-miR-4797-3p	21	21	10	14
hsa-miR-4797-5p	3	4	0	1
hsa-miR-4798-3p	2	0	1	8
hsa-miR-4798-5p	2	1	21	22
hsa-miR-4799-3p	2	0	0	1
hsa-miR-4799-5p	9	3	12	6
hsa-miR-4800-3p	0	0	1	2
hsa-miR-4800-5p	0	0	1	0
hsa-miR-4802-3p	2	4	11	7
hsa-miR-4802-5p	16	9	8	31
hsa-miR-4803	30	17	0	0
hsa-miR-4804-3p	9	12	7	4
hsa-miR-4804-5p	8	5	3	9
hsa-miR-483-3p	237	102	5	3
hsa-miR-483-5p	66	39	2	0
hsa-miR-484	25990	21465	14646	14296
hsa-miR-485-3p	0	5	4	2
hsa-miR-486-3p	165	154	85	160
hsa-miR-486-5p	1296	1606	5593	4366
hsa-miR-487a-3p	1	0	2	0
hsa-miR-487b-3p	2	2	4	3
hsa-miR-488-3p	13	1	5	2
hsa-miR-489-3p	19	16	0	0
hsa-miR-489-5p	1	1	0	0
hsa-miR-490-3p	1	0	0	0
hsa-miR-491-3p	220	136	42	51
hsa-miR-491-5p	2454	2887	616	962
hsa-miR-493-3p	0	1	0	1
hsa-miR-493-5p	0	0	1	0
hsa-miR-494-3p	0	4	8	3
hsa-miR-495-3p	2	3	11	5
hsa-miR-497-3p	97	85	41	309
hsa-miR-497-5p	2047	1530	2242	6708
hsa-miR-4999-3p	1	2	2	6
hsa-miR-4999-5p	0	0	11	18
hsa-miR-499a-3p	1	0	0	0
hsa-miR-499a-5p	92	63	50	76
hsa-miR-499b-3p	2	1	0	0
hsa-miR-499b-5p	4	3	0	0
hsa-miR-5000-3p	32	63	133	87
hsa-miR-5000-5p	14	18	23	17
hsa-miR-5001-3p	174	186	194	157
hsa-miR-5001-5p	22	20	15	18
hsa-miR-5002-3p	2	1	0	0
hsa-miR-5002-5p	3	8	0	0
hsa-miR-5003-3p	2	2	10	11
hsa-miR-5003-5p	3	4	1	18
hsa-miR-5004-3p	2	0	4	2
hsa-miR-5004-5p	0	0	4	1
hsa-miR-5006-3p	4	5	9	4
hsa-miR-5006-5p	2	1	0	0
hsa-miR-5008-3p	28	21	104	123
hsa-miR-5008-5p	33	11	73	70
hsa-miR-5009-3p	12	0	1	3
hsa-miR-5009-5p	15	18	30	30
hsa-miR-500a-3p	3199	4083	4485	3102
hsa-miR-500a-5p	1447	3481	3899	4021
hsa-miR-500b-3p	45	57	66	35
hsa-miR-500b-5p	1446	3481	3898	4021
hsa-miR-501-3p	1375	1394	1751	1139
hsa-miR-501-5p	1636	2488	2831	3023
hsa-miR-5010-3p	96	70	59	40
hsa-miR-5010-5p	29	12	10	7
hsa-miR-502-3p	3868	3698	2820	3325
hsa-miR-502-5p	506	804	603	926
hsa-miR-503-3p	95	115	154	106
hsa-miR-503-5p	14814	9170	3437	7590
hsa-miR-504-3p	4	4	0	0
hsa-miR-504-5p	102	124	6	9
hsa-miR-505-3p	12145	14087	20106	22963
hsa-miR-505-5p	515	407	1449	1077
hsa-miR-506-3p	0	1	0	0
hsa-miR-507	0	2	0	0
hsa-miR-508-3p	2	4	0	0
hsa-miR-508-5p	1	1	2	0
hsa-miR-5087	4	8	1	5
hsa-miR-5088-3p	18	17	19	10
hsa-miR-5088-5p	4	4	8	12
hsa-miR-5089-3p	0	4	4	4
hsa-miR-5089-5p	7	10	11	8
hsa-miR-509-3-5p	3	2	1	0
hsa-miR-509-3p	11	3	4	0
hsa-miR-509-5p	1	1	1	0
hsa-miR-5090	8	22	37	21
hsa-miR-5091	0	7	0	0
hsa-miR-5092	6	6	5	1
hsa-miR-5093	0	0	0	4
hsa-miR-5094	30	26	147	71
hsa-miR-5096	0	0	0	1
hsa-miR-510-5p	1	0	0	0
hsa-miR-5100	4	4	1	0
hsa-miR-511-3p	6	0	0	1
hsa-miR-511-5p	8	8	8	7
hsa-miR-512-3p	1	3	2	1
hsa-miR-513a-3p	1	0	0	0
hsa-miR-513a-5p	7	8	0	0
hsa-miR-513b-5p	1	1	0	0
hsa-miR-513c-3p	1	0	0	0
hsa-miR-513c-5p	1	0	0	0
hsa-miR-514a-3p	3	9	0	0
hsa-miR-514a-5p	2	1	0	0
hsa-miR-514b-5p	1	1	0	0
hsa-miR-515-3p	0	0	0	6
hsa-miR-515-5p	1	0	1	0
hsa-miR-516a-3p	0	0	1	1
hsa-miR-516a-5p	0	0	28	31
hsa-miR-516b-3p	0	0	1	1
hsa-miR-516b-5p	0	0	2	0
hsa-miR-517a-3p	2	0	5	1
hsa-miR-517b-3p	2	0	5	1
hsa-miR-517c-3p	0	0	1	1
hsa-miR-5187-3p	0	3	6	4
hsa-miR-5187-5p	11	23	26	22
hsa-miR-5188	0	0	3	6
hsa-miR-5189-3p	4	2	6	1
hsa-miR-5189-5p	7	5	28	10
hsa-miR-518a-3p	0	0	3	0
hsa-miR-518a-5p	0	0	0	1
hsa-miR-518b	0	0	0	1
hsa-miR-518c-3p	0	0	2	3
hsa-miR-518c-5p	0	0	2	1
hsa-miR-518e-3p	0	0	0	1
hsa-miR-518e-5p	0	0	5	5
hsa-miR-5190	0	2	0	0
hsa-miR-5191	0	0	0	2
hsa-miR-5192	0	0	2	0
hsa-miR-5193	0	0	0	1
hsa-miR-5194	0	2	10	13
hsa-miR-5196-3p	0	0	2	0
hsa-miR-519a-3p	0	0	9	39
hsa-miR-519a-5p	0	0	12	9
hsa-miR-519b-5p	0	0	5	5
hsa-miR-519c-3p	0	0	0	1
hsa-miR-519c-5p	0	0	5	5
hsa-miR-520a-3p	0	0	1	0
hsa-miR-520a-5p	0	0	2	0
hsa-miR-520b	0	0	5	0
hsa-miR-520c-3p	0	0	5	0
hsa-miR-520e	0	0	2	1
hsa-miR-520f-3p	0	0	1	3
hsa-miR-520g-3p	0	0	1	1
hsa-miR-520h	0	0	1	1
hsa-miR-521	0	0	5	31
hsa-miR-522-3p	0	0	9	21
hsa-miR-522-5p	0	0	5	5
hsa-miR-523-3p	0	0	0	1
hsa-miR-523-5p	0	0	5	5
hsa-miR-524-3p	0	0	0	2
hsa-miR-526b-3p	0	0	3	3
hsa-miR-527	0	0	0	1
hsa-miR-532-3p	1240	994	1604	788
hsa-miR-532-5p	8200	10337	8177	11928
hsa-miR-539-3p	1	0	1	1
hsa-miR-539-5p	0	0	2	0
hsa-miR-541-5p	0	0	1	0
hsa-miR-542-3p	3435	2993	618	2067
hsa-miR-542-5p	622	661	269	377
hsa-miR-543	4	1	5	5
hsa-miR-544a	0	1	0	0
hsa-miR-545-3p	363	436	277	602
hsa-miR-545-5p	725	582	255	879
hsa-miR-548a-3p	290	290	43	53
hsa-miR-548a-5p	140	97	7	14
hsa-miR-548ab	11	9	0	7
hsa-miR-548ac	6	2	15	10
hsa-miR-548ad-5p	1	2	0	0
hsa-miR-548ae-5p	86	59	0	10
hsa-miR-548ag	27	22	0	0
hsa-miR-548ah-3p	20	10	23	30
hsa-miR-548ah-5p	0	0	12	11
hsa-miR-548ai	58	15	6	19
hsa-miR-548aj-3p	1	0	0	3
hsa-miR-548aj-5p	2	0	0	0
hsa-miR-548ak	17	32	25	73
hsa-miR-548al	4	7	5	13
hsa-miR-548am-3p	17	15	11	13
hsa-miR-548an	227	185	0	0
hsa-miR-548ao-5p	2	0	0	0
hsa-miR-548ap-5p	1	1	1	1
hsa-miR-548aq-5p	71	74	40	39
hsa-miR-548ar-3p	56	46	58	45
hsa-miR-548ar-5p	2	0	0	0
hsa-miR-548as-3p	8	3	12	16
hsa-miR-548as-5p	8	12	7	7
hsa-miR-548at-3p	2	1	0	1
hsa-miR-548at-5p	0	0	32	21
hsa-miR-548au-3p	10	8	2	2
hsa-miR-548au-5p	54	43	16	22
hsa-miR-548av-3p	8	2	5	6
hsa-miR-548av-5p	15	19	6	10
hsa-miR-548aw	1	6	6	7
hsa-miR-548ax	1	3	6	7
hsa-miR-548ay-3p	75	73	36	18
hsa-miR-548ay-5p	48	23	12	17
hsa-miR-548az-3p	1	0	0	1
hsa-miR-548az-5p	0	1	0	2
hsa-miR-548b-3p	3055	2279	0	1
hsa-miR-548b-5p	164	145	1	1
hsa-miR-548c-3p	1	0	1	0
hsa-miR-548c-5p	0	90	0	1
hsa-miR-548d-3p	182	153	127	106
hsa-miR-548d-5p	0	2	0	1
hsa-miR-548e-3p	644	606	494	655
hsa-miR-548e-5p	312	325	175	389
hsa-miR-548f-3p	78	111	13	21
hsa-miR-548f-5p	0	3	0	1
hsa-miR-548g-3p	2	4	1	0
hsa-miR-548g-5p	3	0	20	38
hsa-miR-548h-3p	2	0	0	0
hsa-miR-548h-5p	539	591	1	0
hsa-miR-548i	0	11	1	1
hsa-miR-548j-3p	16	20	15	12
hsa-miR-548j-5p	280	318	208	231
hsa-miR-548k	951	1201	291	662
hsa-miR-548l	307	355	143	169
hsa-miR-548n	64	73	23	38
hsa-miR-548o-3p	239	126	170	155
hsa-miR-548p	54	42	33	34
hsa-miR-548q	24	23	43	48
hsa-miR-548s	30	17	27	37
hsa-miR-548t-3p	0	0	0	5
hsa-miR-548t-5p	15	24	18	20
hsa-miR-548u	35	25	16	17
hsa-miR-548v	22	13	34	13
hsa-miR-548w	522	564	726	685
hsa-miR-548x-3p	1	0	0	0
hsa-miR-548y	579	426	0	0
hsa-miR-548z	0	0	2	0
hsa-miR-549a	3	2	1	2
hsa-miR-550a-3-5p	169	179	238	201
hsa-miR-550a-3p	6379	6051	5771	3658
hsa-miR-550a-5p	882	901	1297	932
hsa-miR-550b-2-5p	4	9	7	9
hsa-miR-550b-3p	1	1	2	1
hsa-miR-551a	197	260	10	4
hsa-miR-551b-3p	2463	2398	0	2
hsa-miR-551b-5p	139	190	0	0
hsa-miR-552-3p	1	1	1	0
hsa-miR-552-5p	0	3	6	2
hsa-miR-556-3p	339	261	146	189
hsa-miR-556-5p	176	132	133	122
hsa-miR-5579-3p	1	0	0	0
hsa-miR-5579-5p	17	9	0	0
hsa-miR-5580-3p	3	1	1	2
hsa-miR-5580-5p	0	0	0	1
hsa-miR-5581-3p	40	42	59	36
hsa-miR-5581-5p	6	26	11	9
hsa-miR-5582-3p	128	113	135	113
hsa-miR-5582-5p	1	1	2	0
hsa-miR-5583-3p	102	76	52	32
hsa-miR-5583-5p	100	49	14	18
hsa-miR-5584-3p	4	4	4	0
hsa-miR-5584-5p	21	10	9	7
hsa-miR-5585-5p	9	4	7	3
hsa-miR-5586-3p	28	9	0	0
hsa-miR-5586-5p	23	10	0	0
hsa-miR-5587-3p	18	22	46	30
hsa-miR-5587-5p	60	65	13	46
